Added by Katie,ImportRange formula in cell B3,,,,,Added by Katie,,,,,,,,,0,0,0
,,,,,,,,PRODUCT MATERIAL & COMPONENT VALUES,,,Packaging only,,,,RESULTS FOR CHARTS,,
Category Assigned for selection list,Material category,Material name,Impact value (multiply),Impact value (add),Impact unit,Auto-list taken from column E,,Density value,Density unit,Unit weight (g),Manufacturing Process,,,,Baseline *Please Make a Copy Before Editing*,*Design 01*,*Design 02*
Plastics,Elastomers,Liquid Silicone Rubber,0.007580, ,kgCO2e/g,g,TRUE,1.14,g/cm3,,,,Liquid Silicone Rubber,,,,
Plastics,Elastomers,Solid Silicone Rubber,0.008443, ,kgCO2e/g,g,TRUE,1.16,g/cm3,,,,Solid Silicone Rubber,,,,
Plastics,Elastomers,"TPS/TPU (A005, A007, A030)",0.004148, ,kgCO2e/g,g,TRUE,1.04,g/cm3,,,,"TPS/TPU (A005, A007, A030)",,,,
Plastics,Foam,Compressed Cork,0.001280, ,kgCO2e/g,g,TRUE,0.45,g/cm3,,,,Compressed Cork,,,,
Plastics,Foam,EPE Foam,0.003430, ,kgCO2e/g,g,TRUE,,,,,,EPE Foam,,,,
Plastics,Foam,EVA Foam,0.003266, ,kgCO2e/g,g,TRUE,,,,,,EVA Foam,,,,
Plastics,Foam,Natural Rubber,0.002737, ,kgCO2e/g,g,TRUE,,,,,,Natural Rubber,,,,
Plastics,Foam,PU Foam,0.005380, ,kgCO2e/g,g,TRUE,0.049,g/cm3,,,,PU Foam,,,,
Plastics,Foot Pad,Liquid Silicone Rubber Pad,0.007158, ,kgCO2e/g,g,TRUE,1.14,g/cm3,,,,Liquid Silicone Rubber Pad,,,,
Plastics,Foot Pad,PTFE Pad,0.012261, ,kgCO2e/g,g,TRUE,2.17,g/cm3,,,,PTFE Pad,,,,
Plastics,Foot Pad,Solid Silicone Rubber Pad,0.008015, ,kgCO2e/g,g,TRUE,1.14,g/cm3,,,,Solid Silicone Rubber Pad,,,,
Others,Glass/Ceramic,Glass,0.001970, ,kgCO2e/g,g,TRUE,2.5,g/cm3,,,,Glass,,,,
Metals,Metal - Aluminium,ADC-12  [Die-casting],0.017417, ,kgCO2e/g,g,TRUE,2.75,g/cm3,,,,ADC-12  [Die-casting],,,,
Metals,Metal - Aluminium,ADC-12 (60% Recycled)  [Die-casting],0.012192, ,kgCO2e/g,g,TRUE,2.75,g/cm3,,,,ADC-12 (60% Recycled)  [Die-casting],,,,
