Tool Version,v0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tool Update Date,"March 12, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated By,Marcus Papadopoulos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On Track,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strong Progress,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circular Design Leader,9.00,,,,,,,Number of Applicable Questions,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
,,,,,,,,BG,GAMING,,,,,,,,,,,,,,,,,,,,,,,PWS,,,,,,,,,,,,,,,,,,,,,TWS,,,,,
,,,,,,,,Portfolio,Gaming 3 Series,Gaming 3 Series,Gaming 3 Series,Gaming 3 Series,Gaming 5 Series,Gaming 5 Series,Gaming 5 Series,Gaming 5 Series,Gaming 9 Series,Gaming 9 Series,Gaming 9 Series,Gaming 9 Series,Gaming PRO Series,Gaming PRO Series,Gaming PRO Series,Gaming PRO Series,Gaming PRO Series,Gaming Simulation,Gaming Other,Gaming Other,Gaming Other,Gaming Other,Gaming Other,PWS MX,PWS MX,PWS MX,PWS MX,PWS Ergo,PWS Ergo,PWS Ergo,PWS Lifestyle,PWS Lifestyle,PWS Lifestyle,PWS Core,PWS Core,PWS Core,PWS Mobility,PWS Mobility,PWS Other,PWS Other,PWS Other,PWS Other,PWS Other,PWS Other,TWS Video Conferencing,TWS Video Conferencing,TWS Video Conferencing,TWS Headset,TWS Other,TWS Other
,,,,,,,,Product Type,Mouse ,Keyboard,Headset,Other,Mouse ,Keyboard,Headset,Other,Mouse ,Keyboard,Headset,Other,Mouse ,Keyboard,Headset,Controller,Other,Simulation,Microphones,Cameras,Lights,Mouse Pads,Other,Mouse ,Keyboard,Webcam,Other,Mouse,Keyboard,Other,Mouse,Keyboard,Other,Mouse,Keyboard,Other,Tablet Case / Folio / Keyboard,Other,Webcam,Digital Pens,Presentation Remotes,Speakers,Microphones,Other,"Video Conferencing Camera, Bar, Microphone or Speaker",Meeting / Room Controller,Other,Headset,Desk Dock,Other
,,,,,,,,Prioity Parts,"For a {{Portfolio}} mouse, consider the following priority parts: Main Switches, Keyplates, High Wear Touch Points, Feet.","For a {{Portfolio}} keyboard, consider the following priority parts: Keycaps, Key Switches, Key Stabilisers, Tilt Feet, Palm rest, Knob / Roller","For a {{Portfolio}} headset, consider the following priority parts: Ear Pad, Head Pad / Strap, Mic Boom, Speaker Driver","For this product type, the priority parts are not yet defined. Think through what might break first or have the biggest impact on function if they fail. ","For a {{Portfolio}} mouse, consider the following priority parts: Main Switches, Keyplates, High Wear Touch Points, Feet.","For a {{Portfolio}} keyboard, consider the following priority parts: Keycaps, Key Switches, Key Stabilisers, Tilt Feet, Palm rest, Knob / Roller","For a {{Portfolio}} headset, consider the following priority parts: Ear Pad, Head Pad / Strap, Mic Boom, Speaker Driver","For this product type, the priority parts are not yet defined. Think through what might break first or have the biggest impact on function if they fail. ","For a {{Portfolio}} mouse, consider the following priority parts: Main Switches, Keyplates, High Wear Touch Points, Feet.","For a {{Portfolio}} keyboard, consider the following priority parts: Keycaps, Key Switches, Key Stabilisers, Tilt Feet, Palm rest, Knob / Roller","For a {{Portfolio}} headset, consider the following priority parts: Ear Pad, Head Pad / Strap, Mic Boom, Speaker Driver","For this product type, the priority parts are not yet defined. Think through what might break first or have the biggest impact on function if they fail. ","For a {{Portfolio}} mouse, consider the following priority parts: Main Switches, Keyplates, High Wear Touch Points, Feet.","For a {{Portfolio}} keyboard, consider the following priority parts: Keycaps, Key Switches, Key Stabilisers, Tilt Feet, Palm rest, Knob / Roller","For a {{Portfolio}} headset, consider the following priority parts: Ear Pad, Head Pad / Strap, Mic Boom, Speaker Driver","For a {{Portfolio}} controller, consider the following priority parts: Data Cable(s), High Wear Touch Points, Input Controls (Knobs, Dials, D-Pads, Triggers)","For this product type, the priority parts are not yet defined. Think through what might break first or have the biggest impact on function if they fail. ","For Simulation, consider the following priority parts: Data Cable(s), High Wear Touch Points, Input Controls (Knobs, Dials, D-Pads, Triggers)","For microphones, consider the following priority parts: Pop Filter, Audio Cable(s)","For cameras, consider the following priority parts: Data Cable(s), Lens cover","For this product type, the priority parts are not yet defined. Think through what might break first or have the biggest impact on function if they fail. ","For this product type, the priority parts are not yet defined. Think through what might break first or have the biggest impact on function if they fail. ","For this product type, the priority parts are not yet defined. Think through what might break first or have the biggest impact on function if they fail. ","For a {{Portfolio}} mouse, consider the following priority parts: Main Switches, Keyplates, High Wear Touch Points, Feet.","For a {{Portfolio}} keyboard, consider the following priority parts: Keycaps, Key Switches, Key Stabilisers, Tilt Feet, Palm rest, Knob / Roller","For cameras, consider the following priority parts: Data Cable(s), Lens cover","For this product type, the priority parts are not yet defined. Think through what might break first or have the biggest impact on function if they fail. ","For a {{Portfolio}} mouse, consider the following priority parts: Main Switches, Keyplates, High Wear Touch Points, Feet.","For a {{Portfolio}} keyboard, consider the following priority parts: Keycaps, Key Switches, Tilt Feet, Palm rest","For this product type, the priority parts are not yet defined. Think through what might break first or have the biggest impact on function if they fail. ","For a {{Portfolio}} mouse, consider the following priority parts: Main Switches, Keyplates, High Wear Touch Points, Feet.","For a {{Portfolio}} keyboard, consider the following priority parts: Keycaps, Key Switches, Tilt Feet, Palm rest","For this product type, the priority parts are not yet defined. Think through what might break first or have the biggest impact on function if they fail. ","For a {{Portfolio}} mouse, consider the following priority parts: Main Switches, Keyplates, High Wear Touch Points, Feet.","For a {{Portfolio}} keyboard, consider the following priority parts: Keycaps, Key Switches, Tilt Feet, Palm rest","For this product type, the priority parts are not yet defined. Think through what might break first or have the biggest impact on function if they fail. ","For mobility products, consider the following priority parts: Keycaps","For this product type, the priority parts are not yet defined. Think through what might break first or have the biggest impact on function if they fail. ","For cameras, consider the following priority parts: Data Cable(s), Lens cover","For this product type, the priority parts are not yet defined. Think through what might break first or have the biggest impact on function if they fail. ","For this product type, the priority parts are not yet defined. Think through what might break first or have the biggest impact on function if they fail. ","For this product type, the priority parts are not yet defined. Think through what might break first or have the biggest impact on function if they fail. ","For microphones, consider the following priority parts: Pop Filter, Audio Cable(s)","For this product type, the priority parts are not yet defined. Think through what might break first or have the biggest impact on function if they fail. ","For a video conference products, consider the following priority parts: Lens Cover, Motor, Speaker Driver, Microphone, Front Cover, Cable(s)","For this product type, the priority parts are not yet defined. Think through what might break first or have the biggest impact on function if they fail. ","For this product type, the priority parts are not yet defined. Think through what might break first or have the biggest impact on function if they fail. ","For a TWS headset, consider the following priority parts: Ear Pad, Head Pad / Strap, Mic Boom, Speaker Driver","For this product type, the priority parts are not yet defined. Think through what might break first or have the biggest impact on function if they fail. ","For this product type, the priority parts are not yet defined. Think through what might break first or have the biggest impact on function if they fail. "
ID,Question,Question Subtitle,Question Category,Worst Case,Baseline,Improvements,Circular Success,Best in Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Battery Access,All Logitech products must focus on battery access to enable repair and recycling,Disassembly,"No access, battery glued in (Example: [UE Fits](https://fccid.io/JNZB00040/Internal-Photos/Internal-photos-4929108))","Removed with damage, but still possible (Example: [MX Master 3s](https://www.ifixit.com/Guide/Logitech+MX+Master+3S+Battery+Replacement/159781))",Removed without damage (Example: [MX Master 4](https://www.ifixit.com/Guide/Logitech+MX+Master+4+Battery+Replacement/193900)),"1 Step removal, 1 Tool (Example: [Logitech G515](https://www.ifixit.com/Guide/Logitech+G515+Lightspeed+TKL+Battery+Replacement/190923))","1 Step Removal, No Tools (Example: [Logitech Signature M650](https://www.ifixit.com/Guide/Logitech+Signature+M650+Battery+Replacement/194957))",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2,Cable Replacement,"A broken cable can mean an early end of life for a product, ensure that the cables can be replaced.",Disassembly,"Cables are rigidly attached and soldered on one side preventing replacement (Example: [Zone Wired 2 for Business](https://www.logitech.com/en-us/shop/p/zone-wired-2), [Brio 500](https://www.logitech.com/en-us/shop/p/brio-500-webcam))",Cables are rigidly attached with an internal connector. Replacement is possible but involves damage like removing feet (Example: [G203](https://www.youtube.com/watch?v=kT8xjLGxhFs)),Cables are rigidly attached with an internal connector. Damage free replacement is possible (Example: [K120](https://www.ifixit.com/Guide/Logitech+K120+Keyboard+USB+Cable+Replacement/132208)),"Cables are removable but a custom / proprietary cable is required (Example: [Zone Learn](https://support.logi.com/hc/en-us/articles/12974063724951-Spare-Part-Zone-Learn), [LogitechG PRO D11 Wheel Base](https://www.logitechg.com/en-us/shop/p/pro-usb-cable))","All cables removable and replaceable with standard connector types (Example: [LogitechG Pro X Headset](https://www.logitechg.com/en-us/shop/p/pro-x-gaming-headset-blue-voice-mic-tech), [G515](https://www.logitechg.com/en-us/shop/p/g515-rapid-tkl))",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,Component Access,"Consider the most critical priority part, other than the battery, in the assembly. {{Priority Parts}} For more information on priority parts take a look at the [Design for Repair Quick Start Guide](https://docs.google.com/presentation/u/0/d/1J4K0D3cpDy0K1RvMxXSSwTArdLjN7ZuZcCPbjQKPHKQ/view)",Disassembly,Priority parts are permanently integrated or soldered ([Key Switches on MX Mechanical](https://www.ifixit.com/Guide/Disassembling+Logitech+MX+Mechanical/176320)) ,"Priority parts are accessible with damage, for example entry is hidden by feet or stickers ([Main Switches in G PRO Mouse](https://www.youtube.com/watch?v=uIwV4WrH6Us))",Priority parts are accessible without damage but buried under unrelated functional layers ([Slip Ring in LogitechG RS50](https://docs.google.com/presentation/d/1bR2XdrqcLn-PVl8dBIdR6WJhtCWUIPbZk4F1yfXHD_A/edit?usp=sharing)),Priority parts have been surfaced directly behind the primary enclosure and the fasteners are exposed ([Main PCB on Logitech Rally Board 65](https://fccid.io/JNZVR0039/Internal-Photos/Internal-Photos-Part-1-rev-8097353)),"Priority parts are directly accessible or accessible via a dedicated easy-access door with no internal disassembly ([Switches on HP ProArt Mouse MD301](https://www.asus.com/us/accessories/mice-and-mouse-pads/proart/proart-mouse-md301/), [Ear Cup Pads on LogitechG Pro X Headset](https://www.ifixit.com/Guide/Logitech+G+Pro+X+Wireless+Ear+Pads+Replacement/170342))",,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4,Disassembly Tooling,"Commonly available tools are defined by EN45554 Table A.3 and include: Phillips, Hex, Torx, Tweezer, Spudger",Disassembly,Requires proprietary tools or hazardous heating/solvent equipment,Requires non-common tools only available to authorized centers,Requires commonly available tools ,Requires only one commonly available tool,"Requires no tools (manual latches, spring-buttons)",,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5,Disassembly Depth,"Reducing the number of steps decreases the cost, barrier to entry and risk of damage.",Disassembly,"Deep, complex teardown required to reach the most common failing component",Deepest priority part requires more than 10 steps to reach,Deepest priority part requires less than 10 steps to reach,Depth is optimized; priority parts reached in 4–6 steps,Ultra-shallow: The priority parts are removed in <3 steps,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,TRUE,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,TRUE,TRUE
